tool_name,subject,type,subtype,intent,contents_example,color,interior_color,measurement,label
GTKGVJTWOFTQMZQV,Irregular Walk Area - Detached,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,,1 1 1,0.5019608 0.5019608 1,Measure,
KOGGJTVKBPVPLZCG,Handicap Ramp Area - Hand,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,,0.5019608 1 1,0.5019608 1 1,Measure,
RAIPZSBPBHWDXHDL,Dual Handicap Ramp Area - Hand,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,209.8 sf,0 0.5019608 1,0 0.5019608 1,Measure,
WMJRKAXVFLYMXZMB,Driveway,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,,0 1 0,0 1 0,Measure,
WMQACIEYFBRQDAVI,Alley,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,,0 0 0,1 1 0.5019608,Measure,
IFHIRFSHCSQJVYFP,Bus Stop Pad,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,500.56 sf,0.5019608 1 0.5019608,0.5019608 1 0.5019608,Measure,
FLVLATWTRHAFDAXD,Bus Turnout Area,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,"2,113.82 sf",0 0.5019608 0.5019608,0 0.5019608 0.5019608,Measure,
GGTEUBUFAEKLQSNT,Basin Access Ramp,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,855.65 sf,1 1 0.5019608,1 1 0.5019608,Measure,
UZYKAKCIGDZRTNHT,Basin Access Road,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,,0.5019608 0.5019608 0.7529412,0.5019608 0.5019608 0.7529412,Measure,
SYLYEGWPSIRAAEFX,Basin Spillway Area,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,"4,513.53 sf",1 1 0.5019608,1 1 0.5019608,Measure,
RODJUYAKWCUHACYW,Stamped Area,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,242.09 sf,0.8156863 0.4980392 0.6784314,0.7843137 0.5607843 0.7764706,Measure,
RODJUYAKWCUHACYW,Stamped & Colored Area,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,80.82 sf,0.8078431 1 0.5607843,0.8078431 1 0.5607843,Measure,
JTZCCUYPDTYVLPKZ,Crosswalk Concrete Area,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,147.21 sf,0 0.2509804 0.5019608,0 0.2509804 0.5019608,Measure,
VXWPLTVMMWNNEBDH,Bike Ramp,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,91.59 sf,1 0.5019608 0.7529412,0.5019608 0 0.5019608,Measure,
VVBRRMXYPJATXUPQ,Truncated Dome,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,191.38 sf,1 0 1,1 0 1,Measure,
HYJJMPDRYFZHFHOF,12' Sidewalk Area,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,948.45 sf,1 0.5019608 0.2509804,1 0.5019608 0.2509804,Measure,
XKKSHXBPPNBMUXON,Heavy Duty PCC,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,28.71 sf,0 0.5019608 1,0 0.5019608 1,Measure,
XKKSHXBPPNBMUXON,EVA PCC Area,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,112.84 sf,1 0 0,1 0 0,Measure,
LKHLVYCCPCCKNXQK,Catch Basin,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,6,0 1 1,0 1 1,Measure,
JSJLPUOPTBYFEYVD,Type A DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,3,0 1 1,0 1 1,Measure,
KJXTOHDGMWFCWWNY,Type B DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,4,0 1 1,0 1 1,Measure,
MLWFGUNVXVWGIIKN,Mod Type B DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
DNZYHMQMOQNSETRH,Type C DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,17,0 1 1,0 1 1,Measure,
DNZYHMQMOQNSETRH,Type D DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,17,0 1 1,0 1 1,Measure,
JSYYMYBEAYTMEZDY,Type J DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,2,0 1 1,0 1 1,Measure,
MIOYYWPFLQRZYEVA,Type F DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,7,0 1 1,0 1 1,Measure,
EBRJIJIOTJATOPOP,Type G DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
GRUKNEQWRQMTDWAB,Type G1 DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
OOVWFYUGSCTEAPNI,Type G2 DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
IYKEPJSLXMONKEJU,Type GO DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
REMWVQPSFUYDFLAW,Type GOL-7 DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,2,0 1 1,0 1 1,Measure,
WJTATTUGUYEKDTXI,Type GOL-10 DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,2,0 1 1,0 1 1,Measure,
ZJONCTBEBAKQKICG,Field Inlet,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
ZJONCTBEBAKQKICG,Jensen Type 4A DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
YBBPFJQUXCPGFBQW,Type 1 DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,2,0 1 1,0 1 1,Measure,
MUDQTWLLPYWWECTC,Type 2 DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
SWOKCUJOZWXGTWTL,Type 300-1 DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
IZKUBTIPRBZMYHFF,Type OCPI DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
QAFEFLRTETZZWTZH,Alley DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
PIRSBHLHJZZKDMDK,DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,35,0 1 1,0 1 1,Measure,
SESBDLDAPHYVRZKC,Precast DI,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
EDNUABGHMQRMVSYF,Thru Curb Drain,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 0.5019608 1,0 0.5019608 1,Measure,
YPYKMGHEITUATGSK,Driveway,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,5,0 1 0.2509804,0 1 0.2509804,Measure,
JJPWRXFKAXMCYLKF,C&G Transitions,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,4,0 1 0,0 1 0,Measure,
EUBEPJWZKKLIDODL,HC Ramp - Machine,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,2,0.5019608 1 0,0.5019608 1 0,Measure,
IVQEHZHUNMZVTTTD,Single Ramp - Machine,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0.5019608 1 0,0.5019608 1 0,Measure,
QICUCHTUOSEIBXQC,Dual Ramp - Machine,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0.5019608 1 0,0.5019608 1 0,Measure,
DREALAVZAGUVZCHJ,Truncated Dome,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,1 0 0.5019608,1 0 0.5019608,Measure,
GXCCCIPAFDREQCSK,Gap,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,8,0.5019608 0 1,0.5019608 0 1,Measure,
GXCCCIPAFDREQCSK,Tree Well,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,8,0.5019608 0 1,0.5019608 0 1,Measure,
KLBBDPLLXWVUQLUX,DI Check,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 1 1,0 1 1,Measure,
MKFDYFMTRJFHNAWV,Ramp Check,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,0 0.5019608 0,0 0.5019608 0,Measure,
XOEUZAQPSLTKHUOI,Curb Cut,Bluebeam.PDF.Annotations.AnnotationMeasureCount,RL,PolygonCount,1,1 0.5019608 0,1 0.5019608 0,Measure,
BHACJPPZJDOFFDKY,Rectangle,Bluebeam.PDF.Annotations.AnnotationSquare,Square,,,1 1 1,1 1 1,,
QGKZPABGVVRXTAQV,Line,Bluebeam.PDF.Annotations.AnnotationLine,Line,,,1 0 0,,,
QGKZPABGVVRXTAQV,Line,Bluebeam.PDF.Annotations.AnnotationLine,Line,,,1 0 0,,,
ILTUBWVWLWXIKOIP,Pen,Bluebeam.PDF.Annotations.AnnotationInk,Ink,,",",1 0 0,,,
